system:index,LST,Latitude,Longitude,NDBI,NDVI,.geo
1221,43.09030058000002,19.795591760550813,75.25646838650749,0.09693523783109138,0.14025564699702328,"{""type"":""Point"",""coordinates"":[75.25646838650749,19.795591760550813]}"
1222,46.75270900999999,19.99377293031039,75.46400312609416,0.0743077087565487,0.14721081224327548,"{""type"":""Point"",""coordinates"":[75.46400312609416,19.99377293031039]}"
1223,45.571783100000005,19.900208153706835,75.53138000873955,0.12786455897483864,0.1853546910755149,"{""type"":""Point"",""coordinates"":[75.53138000873955,19.900208153706835]}"
1224,45.05908010000002,19.87980721942256,75.57135017199137,0.10193836285036954,0.1561938958707361,"{""type"":""Point"",""coordinates"":[75.57135017199137,19.87980721942256]}"
1225,42.62886788000003,19.755256441091,75.37734539724028,-0.05201531186669669,0.30685314685314685,"{""type"":""Point"",""coordinates"":[75.37734539724028,19.755256441091]}"
1226,46.677512569999976,19.9241962057506,75.30331329590067,0.10651603792616501,0.262182958107723,"{""type"":""Point"",""coordinates"":[75.30331329590067,19.9241962057506]}"
1227,42.01020626000002,19.96683333325474,75.40606435700334,0.18989084472416168,0.26388462718625344,"{""type"":""Point"",""coordinates"":[75.40606435700334,19.96683333325474]}"
1228,46.17848164999998,19.808234673053867,75.45528872448216,0.14188794010995437,0.17319686550455782,"{""type"":""Point"",""coordinates"":[75.45528872448216,19.808234673053867]}"
1229,47.38333369999998,19.961203942019875,75.51662192808983,0.12696205046691833,0.19110870154513418,"{""type"":""Point"",""coordinates"":[75.51662192808983,19.961203942019875]}"
1230,43.852519040000004,19.912659152892772,75.41350755478719,0.06790481717933837,0.13678994868164926,"{""type"":""Point"",""coordinates"":[75.41350755478719,19.912659152892772]}"
1231,38.980131529999994,19.835358974315874,75.21483136984344,0.016359918200409,0.20049916805324458,"{""type"":""Point"",""coordinates"":[75.21483136984344,19.835358974315874]}"
1232,45.30346853000003,19.928445187384984,75.44460317467419,0.058091286307053944,0.213768519549961,"{""type"":""Point"",""coordinates"":[75.44460317467419,19.928445187384984]}"
1233,36.886594280000054,20.017464591743906,75.39908378523768,-0.24088763932121698,0.5579929399899143,"{""type"":""Point"",""coordinates"":[75.39908378523768,20.017464591743906]}"
1234,43.22873039000001,19.956165545294734,75.36309188487195,0.07675888679090387,0.22960857205335666,"{""type"":""Point"",""coordinates"":[75.36309188487195,19.956165545294734]}"
1235,36.864377149999996,20.01411924651752,75.27267093171359,-0.1483219901431589,0.3512841756420878,"{""type"":""Point"",""coordinates"":[75.27267093171359,20.01411924651752]}"
1236,45.81104449999998,19.944835434055705,75.39968510445391,0.04619826756496631,0.047015319598520865,"{""type"":""Point"",""coordinates"":[75.39968510445391,19.944835434055705]}"
1237,43.50900803000002,19.883151735059904,75.19047039965692,0.14787488309259067,0.19568387284922717,"{""type"":""Point"",""coordinates"":[75.19047039965692,19.883151735059904]}"
1238,41.646187130000044,19.926794228251136,75.17743801382234,0.05220197418375095,0.2792723545990264,"{""type"":""Point"",""coordinates"":[75.17743801382234,19.926794228251136]}"
1239,45.99219956000002,19.81418575457565,75.3938363438941,0.1681969134596601,0.1394166443671394,"{""type"":""Point"",""coordinates"":[75.3938363438941,19.81418575457565]}"
1240,40.665215390000014,19.740901640261775,75.33317316684665,-0.017803076177788542,0.23624595469255663,"{""type"":""Point"",""coordinates"":[75.33317316684665,19.740901640261775]}"
