Elevation,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Population,LandCover_Name,LandCover_Bare_sparse_vegetation,LandCover_Built-up land,LandCover_Cropland,LandCover_Grassland,LandCover_Permanent_water_bodies,LandCover_Shrubland,LandCover_Tree cover
555,44.242173320000006,40,19.767680606933165,75.34757218919061,0.0226763990267639,0.1882617441722873,1.539533019065857,Cropland,0,0,1,0,0,0,0
662,37.26428549000002,40,19.96452144484377,75.27443749697129,-0.2801004844787367,0.651962486974644,3.831478118896485,Cropland,0,0,1,0,0,0,0
718,44.871088999999984,30,20.0211767951802,75.2246826960984,0.0825654923215898,0.1805184238056492,1.7208703756332395,Grassland,0,0,0,1,0,0,0
509,41.029234520000045,40,19.80789545101924,75.18323290113956,-0.0517118764604287,0.2188861415283174,1.6225086450576782,Cropland,0,0,1,0,0,0,0
537,41.11810304000005,40,19.86746006606099,75.21089673997766,-0.0509093929075658,0.4143288253045714,15.97396755218506,Cropland,0,0,1,0,0,0,0
638,49.34527718000004,40,19.757807578593383,75.3923096153789,0.1439679817038307,0.1698702922331614,1.41926372051239,Cropland,0,0,1,0,0,0,0
530,43.12277176999999,50,19.833474374069176,75.24546325014308,0.0525990099009901,0.1298892988929889,72.54242706298828,Built-up land,0,1,0,0,0,0,0
756,47.53030855999998,40,19.971209275323456,75.26534084035325,0.0643315820198482,0.1136742634797109,1.7147306203842163,Cropland,0,0,1,0,0,0,0
634,45.56665607000002,30,19.967313986953908,75.16574800674356,0.0512005262580857,0.1265295495964592,1.191776990890503,Grassland,0,0,0,1,0,0,0
642,40.424244980000026,40,19.77984230167698,75.41840944693381,-0.0398733551004254,0.3129294191130543,2.292386054992676,Cropland,0,0,1,0,0,0,0
515,36.40807147999999,40,19.81834717196176,75.18063387939844,-0.2043202316000445,0.4968170495433158,1.7350033521652222,Cropland,0,0,1,0,0,0,0
643,47.33206340000004,40,19.76957547589118,75.41246234173076,0.0877881314369789,0.2073218226664935,2.523910522460937,Cropland,0,0,1,0,0,0,0
579,43.39450436000004,30,19.871153234200204,75.42765044305627,-0.0623398804440649,0.3704752911551778,17.975433349609375,Grassland,0,0,0,1,0,0,0
546,44.77880246000001,40,19.850726139189103,75.29205919774145,0.0624341103432119,0.1768857520952801,18.62385368347168,Cropland,0,0,1,0,0,0,0
581,43.37399624,50,19.89010312031212,75.34900053589422,0.1129436325678496,0.0795223577235772,164.4044952392578,Built-up land,0,1,0,0,0,0,0
704,47.80887719000003,30,20.021407037926448,75.18222254171828,0.1966386554621848,0.1728262536420794,4.790718078613281,Grassland,0,0,0,1,0,0,0
498,38.28798247999998,40,19.76402742941518,75.21655473181674,-0.109938434476693,0.3445557212870232,3.667081594467163,Cropland,0,0,1,0,0,0,0
760,47.57986985000002,30,19.993399891111554,75.44171706667963,0.0903634544848282,0.1272727272727272,2.5099422931671143,Grassland,0,0,0,1,0,0,0
622,39.93546812,40,19.93812338593723,75.37175269095935,-0.2208835341365461,0.5212986695959966,6.733718395233154,Cropland,0,0,1,0,0,0,0
737,43.23385742000005,30,19.95998221994178,75.21272916917498,0.074454660176672,0.1843137254901961,1.5972294807434082,Grassland,0,0,0,1,0,0,0
724,47.68070144000001,30,19.960393986749352,75.50459527402522,0.1628034312830808,0.1514999372411196,2.819047212600708,Grassland,0,0,0,1,0,0,0
678,45.50000468000002,40,19.958882622033737,75.26244180815459,0.0342389281726832,0.2401433691756272,3.217798948287964,Cropland,0,0,1,0,0,0,0
720,44.26780846999998,30,19.993342596422465,75.46803652453586,0.0672386272944932,0.3320985895426699,2.407986879348755,Grassland,0,0,0,1,0,0,0
701,41.57099069000003,10,19.955873255625704,75.22829958812517,0.0797051895752602,0.2485310792701783,3.41044545173645,Tree cover,0,0,0,0,0,0,1
791,41.75727278,20,20.024477914058394,75.32421178816227,0.0804038893044128,0.2607023840041015,1.1969571113586426,Shrubland,0,0,0,0,0,1,0
708,38.56996913,40,20.01242040754742,75.2051146008487,-0.0615117448130883,0.3366325238807688,3.4837565422058105,Cropland,0,0,1,0,0,0,0
552,40.91985788,40,19.74610358681018,75.36029875145587,-0.0845761570287693,0.3439847382854417,1.8167468309402464,Cropland,0,0,1,0,0,0,0
649,48.53178842,40,19.95860786429376,75.32844974458523,0.1030603489369816,0.1475969748719199,3.870389461517334,Cropland,0,0,1,0,0,0,0
752,45.71192192000001,30,19.974735846862263,75.27078520191753,0.1141418380193034,0.1323588574493764,1.7769581079483032,Grassland,0,0,0,1,0,0,0
537,44.75145830000002,40,19.77557813013371,75.3037198608631,0.0254552042757496,0.2693805309734513,4.806079387664795,Cropland,0,0,1,0,0,0,0
600,47.17996151,40,19.89458529640409,75.43500631941178,0.0986738045990996,0.1712252964426877,6.082937240600586,Cropland,0,0,1,0,0,0,0
547,41.96406299,40,19.88221000434731,75.26198715949222,-0.0034883720930232,0.2975817566720962,6.020555019378662,Cropland,0,0,1,0,0,0,0
532,39.71329681999998,30,19.85369799516232,75.18994067776539,-0.1353509878100042,0.4172897809261445,3.440187692642212,Grassland,0,0,0,1,0,0,0
